2026-05-03 20:06:03,939 | Comparator | INFO | add_result:23 | Added results for: Random Forest
2026-05-03 20:06:03,939 | Comparator | INFO | add_result:23 | Added results for: XGBoost
2026-05-03 20:06:03,939 | Comparator | INFO | add_result:23 | Added results for: DNN
2026-05-03 20:06:03,940 | Comparator | INFO | add_result:23 | Added results for: Ensemble
2026-05-03 20:06:03,940 | Comparator | INFO | add_result:23 | Added results for: Base Paper (DT)
2026-05-03 20:06:03,940 | Comparator | INFO | add_result:23 | Added results for: Base Paper (KNN)
2026-05-03 20:06:03,943 | Comparator | INFO | add_result:23 | Added results for: Our Approach (Ensemble)
2026-05-03 20:06:03,943 | Comparator | INFO | add_result:23 | Added results for: -O0
2026-05-03 20:06:03,944 | Comparator | INFO | add_result:23 | Added results for: -O1
2026-05-03 20:06:03,944 | Comparator | INFO | add_result:23 | Added results for: -O2
2026-05-03 20:06:03,945 | Comparator | INFO | add_result:23 | Added results for: -O3
2026-05-03 20:06:03,982 | Comparator | INFO | save_comparison:90 | Saved comparison to results/tables/method_comparison.csv
