2026-05-03 19:50:23,518 | DatasetGeneration | INFO | generate_dataset:390 | ============================================================
2026-05-03 19:50:23,519 | DatasetGeneration | INFO | generate_dataset:391 | DATASET GENERATION PIPELINE
2026-05-03 19:50:23,519 | DatasetGeneration | INFO | generate_dataset:392 | ============================================================
2026-05-03 19:50:23,546 | DatasetGeneration | INFO | generate_dataset:401 | Step 1: Creating benchmark program characteristics...
2026-05-03 19:50:23,548 | DatasetGeneration | INFO | generate_dataset:403 |   Created 30 benchmark programs
2026-05-03 19:50:23,548 | DatasetGeneration | INFO | generate_dataset:406 | Step 2: Extracting features (Autophase + CFG)...
2026-05-03 19:50:24,018 | DatasetGeneration | INFO | generate_dataset:409 |   Feature matrix shape: (30, 88)
2026-05-03 19:50:24,018 | DatasetGeneration | INFO | generate_dataset:412 | Step 3: Initializing pass manager...
2026-05-03 19:50:24,020 | DatasetGeneration | INFO | generate_dataset:418 | Step 4: Generating priority vectors...
2026-05-03 19:50:24,025 | DatasetGeneration | INFO | generate_dataset:426 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-05-03 19:50:26,743 | DatasetGeneration | INFO | generate_dataset:453 |   Total samples: 450
2026-05-03 19:50:26,744 | DatasetGeneration | INFO | generate_dataset:454 |   Feature dimension: 92
2026-05-03 19:50:26,745 | DatasetGeneration | INFO | generate_dataset:455 |   Class distribution: [ 10  83   3  32   2 176   0  37  98   9]
2026-05-03 19:50:26,745 | DatasetGeneration | INFO | generate_dataset:458 | Step 6: Data augmentation...
2026-05-03 19:50:26,791 | DatasetGeneration | INFO | generate_dataset:481 |   After augmentation: 1350 samples
2026-05-03 19:50:26,792 | DatasetGeneration | INFO | generate_dataset:484 | Step 7: Train/val/test split...
2026-05-03 19:50:26,795 | DatasetGeneration | INFO | generate_dataset:501 |   Train: 944, Val: 202, Test: 204
2026-05-03 19:50:26,823 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-05-03 19:50:26,823 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION COMPLETE
2026-05-03 19:50:26,824 | DatasetGeneration | INFO | generate_dataset:521 | Total: 1350 samples, 92 features, 10 classes
2026-05-03 19:50:26,824 | DatasetGeneration | INFO | generate_dataset:522 | ============================================================
