2026-03-07 14:16:30,594 | DatasetGeneration | INFO | generate_dataset:390 | ============================================================
2026-03-07 14:16:30,594 | DatasetGeneration | INFO | generate_dataset:391 | DATASET GENERATION PIPELINE
2026-03-07 14:16:30,594 | DatasetGeneration | INFO | generate_dataset:392 | ============================================================
2026-03-07 14:16:30,830 | DatasetGeneration | INFO | generate_dataset:401 | Step 1: Creating benchmark program characteristics...
2026-03-07 14:16:30,830 | DatasetGeneration | INFO | generate_dataset:403 |   Created 30 benchmark programs
2026-03-07 14:16:30,831 | DatasetGeneration | INFO | generate_dataset:406 | Step 2: Extracting features (Autophase + CFG)...
2026-03-07 14:16:30,882 | DatasetGeneration | INFO | generate_dataset:409 |   Feature matrix shape: (30, 66)
2026-03-07 14:16:30,882 | DatasetGeneration | INFO | generate_dataset:412 | Step 3: Initializing pass manager...
2026-03-07 14:16:30,884 | DatasetGeneration | INFO | generate_dataset:418 | Step 4: Generating priority vectors...
2026-03-07 14:16:30,891 | DatasetGeneration | INFO | generate_dataset:426 | Step 5: Creating labeled dataset (features + priority → optimal class)...
2026-03-07 14:16:33,863 | DatasetGeneration | INFO | generate_dataset:453 |   Total samples: 450
2026-03-07 14:16:33,863 | DatasetGeneration | INFO | generate_dataset:454 |   Feature dimension: 69
2026-03-07 14:16:33,864 | DatasetGeneration | INFO | generate_dataset:455 |   Class distribution: [ 13  76   0  53   8 164   0  62  58  16]
2026-03-07 14:16:33,864 | DatasetGeneration | INFO | generate_dataset:458 | Step 6: Data augmentation...
2026-03-07 14:16:33,940 | DatasetGeneration | INFO | generate_dataset:481 |   After augmentation: 1350 samples
2026-03-07 14:16:33,940 | DatasetGeneration | INFO | generate_dataset:484 | Step 7: Train/val/test split...
2026-03-07 14:16:33,946 | DatasetGeneration | INFO | generate_dataset:501 |   Train: 944, Val: 202, Test: 204
2026-03-07 14:16:33,983 | DatasetGeneration | INFO | generate_dataset:519 | ============================================================
2026-03-07 14:16:33,986 | DatasetGeneration | INFO | generate_dataset:520 | DATASET GENERATION COMPLETE
2026-03-07 14:16:33,991 | DatasetGeneration | INFO | generate_dataset:521 | Total: 1350 samples, 69 features, 10 classes
2026-03-07 14:16:33,992 | DatasetGeneration | INFO | generate_dataset:522 | ============================================================
