2026-03-07 14:22:51,850 | Comparator | INFO | add_result:23 | Added results for: Random Forest
2026-03-07 14:22:51,851 | Comparator | INFO | add_result:23 | Added results for: XGBoost
2026-03-07 14:22:51,851 | Comparator | INFO | add_result:23 | Added results for: DNN
2026-03-07 14:22:51,852 | Comparator | INFO | add_result:23 | Added results for: Ensemble
2026-03-07 14:22:51,852 | Comparator | INFO | add_result:23 | Added results for: Base Paper (DT)
2026-03-07 14:22:51,854 | Comparator | INFO | add_result:23 | Added results for: Base Paper (KNN)
2026-03-07 14:22:51,860 | Comparator | INFO | add_result:23 | Added results for: Our Approach (Ensemble)
2026-03-07 14:22:51,861 | Comparator | INFO | add_result:23 | Added results for: -O0
2026-03-07 14:22:51,861 | Comparator | INFO | add_result:23 | Added results for: -O1
2026-03-07 14:22:51,861 | Comparator | INFO | add_result:23 | Added results for: -O2
2026-03-07 14:22:51,861 | Comparator | INFO | add_result:23 | Added results for: -O3
2026-03-07 14:22:52,039 | Comparator | INFO | save_comparison:90 | Saved comparison to results/tables/method_comparison.csv
